id_cidade,pib_pc_2015,Perc_rec_ext_2015,receitas_realizadas_2014_x1000,despesas_realizadas_2014_x1000,Pop_econ_ativa_18_mais,Perc_ocupados_setor_agrop,Perc_ocupados_setor_comercio,Perc_ocupados_setor_construcao ,Perc_ocupados_setor_extr_mineral,Perc_ocup_setores_serv_ind_util_pub,Perc_ocupados_setor_servicos,Perc_ocupados_industria_transf,grau_formal_trab_pes_ocupadas,Perc_ocup_fund_comp,Perc_ocup_medio_comp,Perc_ocup_superior_comp,Atv_maior_valor,Atv_segmaior_valor,Atv_tercmaior,1atv_enc,2atv_enc,3atv_enc
5100102,10692.66,,,,1757,34.41,5.71,7.09,0.0,0.63,30.01,2.06,28.33,41.6,27.03,5.52,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,"Pecuária, inclusive apoio à pecuária",5,10,8
5100201,33899.29,67.3,71112.0,64021.0,9551,21.8,13.11,7.04,0.46,0.45,43.95,8.27,54.73,56.57,37.5,10.56,Demais serviços,Comércio e reparação de veículos automotores e motocicletas,"Agricultura, inclusive apoio à agricultura e a pós colheita",10,6,4
5100250,25230.96,,,,24365,21.63,17.2,7.18,0.53,0.42,37.7,7.98,56.06,56.36,37.54,9.5,Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Comércio e reparação de veículos automotores e motocicletas,10,5,6
5100300,45128.0,80.8,82862.0,68551.0,8010,17.28,11.54,7.36,0.45,1.35,41.63,8.48,58.66,58.37,43.2,11.85,Indústrias de transformação,Demais serviços,"Agricultura, inclusive apoio à agricultura e a pós colheita",1,10,4
5100359,13750.21,93.3,,,1912,38.95,12.79,5.11,0.0,0.6,36.29,3.24,41.58,53.66,33.92,8.43,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,"Agricultura, inclusive apoio à agricultura e a pós colheita",5,10,4
5100409,40553.27,83.2,29366.0,25493.0,5270,32.47,10.38,7.79,0.81,0.52,38.15,5.75,57.36,52.42,33.77,9.4,"Agricultura, inclusive apoio à agricultura e a pós colheita",Comércio e reparação de veículos automotores e motocicletas,Demais serviços,4,6,10
5100508,8345.24,87.3,18845.0,16630.0,3380,27.9,20.13,2.82,2.4,0.85,32.43,8.25,60.93,52.27,37.28,10.86,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,"Agricultura, inclusive apoio à agricultura e a pós colheita",5,10,4
5100607,97511.45,81.0,,,4136,10.88,8.26,8.65,0.57,0.06,38.59,7.34,72.4,51.59,35.49,9.23,"Agricultura, inclusive apoio à agricultura e a pós colheita",Comércio e reparação de veículos automotores e motocicletas,Demais serviços,4,6,10
5100805,14268.72,80.7,27874.0,23042.0,4310,37.84,12.2,4.53,3.8,0.0,27.7,8.11,39.53,44.95,25.39,4.75,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,"Pecuária, inclusive apoio à pecuária",5,10,8
5101001,20416.4,80.6,13745.0,11392.0,1478,46.27,8.75,2.75,0.65,1.29,34.69,2.86,54.67,48.3,30.87,9.87,"Pecuária, inclusive apoio à pecuária","Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,8,5,10
5101209,17367.56,97.4,,,500,27.19,2.32,1.89,0.0,0.22,60.76,2.15,57.97,58.41,45.09,12.72,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Pecuária, inclusive apoio à pecuária",Demais serviços,5,8,10
5101258,23089.34,82.4,37354.0,33038.0,7352,20.27,16.94,7.8,0.37,1.33,34.63,14.44,56.61,62.01,43.69,8.89,Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Indústrias de transformação,10,5,1
5101308,17571.18,88.0,,,5061,17.1,13.31,7.22,0.5,0.39,40.23,8.71,39.97,56.33,36.3,9.79,Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Comércio e reparação de veículos automotores e motocicletas,10,5,6
5101407,28733.64,80.1,58418.0,47424.0,6841,22.73,12.51,6.65,0.2,0.91,31.72,13.13,49.87,52.5,33.66,7.66,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Indústrias de transformação,5,9,1
5101605,10207.6,82.5,,,2443,60.84,4.11,1.76,0.0,1.24,25.7,0.98,54.97,33.31,20.98,4.05,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Pecuária, inclusive apoio à pecuária",Demais serviços,5,8,10
5101704,30768.9,76.2,,,14394,21.89,12.1,5.17,0.52,0.22,33.76,18.96,61.35,51.89,34.88,9.71,"Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",4,10,5
5101803,26624.26,,,,24819,11.97,17.56,7.55,0.0,0.72,45.45,7.8,53.92,68.22,52.23,16.95,Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Comércio e reparação de veículos automotores e motocicletas,10,5,6
5101852,34507.52,,19860.0,18008.0,2377,44.21,10.81,10.71,0.51,0.12,26.4,1.62,36.89,46.18,25.64,5.72,"Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,4,5,10
5101902,35877.19,81.2,51405.0,45750.0,7454,36.04,11.07,6.92,0.0,2.03,28.76,7.14,55.11,48.18,27.57,5.39,"Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",4,10,5
5102504,17077.52,,,,38587,14.08,16.28,7.22,0.28,0.64,45.3,7.22,54.43,60.61,44.92,11.9,Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Comércio e reparação de veículos automotores e motocicletas,10,5,6
5102603,13141.89,90.7,42030.0,35409.0,3948,49.67,6.83,4.63,0.18,0.0,28.34,2.16,25.58,36.38,21.58,5.13,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,"Pecuária, inclusive apoio à pecuária",5,10,8
5102637,65984.21,64.5,125760.0,97783.0,13921,22.91,14.16,7.93,0.15,0.78,32.13,13.27,74.75,58.55,37.22,11.32,"Agricultura, inclusive apoio à agricultura e a pós colheita",Comércio e reparação de veículos automotores e motocicletas,Demais serviços,4,6,10
5102678,50514.37,72.1,98847.0,86411.0,16930,28.82,14.97,7.61,0.71,0.41,32.6,8.6,62.34,60.0,39.44,11.02,"Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,Comércio e reparação de veículos automotores e motocicletas,4,10,6
5102686,158121.62,,,,2547,30.79,12.37,6.83,0.16,0.64,33.77,5.27,62.17,54.33,36.34,9.6,"Agricultura, inclusive apoio à agricultura e a pós colheita",Comércio e reparação de veículos automotores e motocicletas,Demais serviços,4,6,10
5102694,19532.86,92.6,14255.0,12349.0,2073,46.45,10.68,6.31,0.0,0.0,26.94,4.03,23.85,41.1,27.58,6.17,"Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Pecuária, inclusive apoio à pecuária",4,5,8
5102702,47876.06,75.2,,,9111,23.26,17.59,7.4,0.0,0.47,40.76,4.17,49.98,53.53,33.64,9.47,"Agricultura, inclusive apoio à agricultura e a pós colheita",Comércio e reparação de veículos automotores e motocicletas,Demais serviços,4,6,10
5102793,13261.31,85.2,26154.0,21100.0,5230,53.14,10.69,4.68,0.28,0.32,25.95,2.48,34.84,44.06,24.59,4.91,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Pecuária, inclusive apoio à pecuária",Demais serviços,5,8,10
5102850,14485.8,84.6,20526.0,17306.0,3829,47.57,7.83,4.49,0.0,0.0,29.71,3.71,30.45,42.04,26.07,4.7,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Pecuária, inclusive apoio à pecuária",Demais serviços,5,8,10
5103007,25362.14,,45302.0,42326.0,7886,26.1,11.11,8.81,0.43,0.75,41.28,2.91,42.48,50.8,35.5,9.21,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,"Agricultura, inclusive apoio à agricultura e a pós colheita",5,10,4
5103056,26538.78,61.4,30059.0,25819.0,5317,26.8,15.34,4.27,0.29,0.57,28.17,16.98,52.74,47.36,26.93,7.35,"Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,4,5,10
5103106,22915.45,,,,2659,37.34,11.93,2.17,2.84,0.43,36.26,4.54,42.23,45.67,27.72,8.16,"Pecuária, inclusive apoio à pecuária","Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Indústrias extrativas,8,5,2
5103205,24302.08,71.3,67768.0,57672.0,15276,20.25,16.72,6.43,0.48,0.74,34.51,10.15,51.55,50.68,34.69,9.45,Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Comércio e reparação de veículos automotores e motocicletas,10,5,6
5103254,11926.09,87.4,59201.0,51181.0,11962,34.46,13.97,3.32,0.66,0.08,24.58,7.94,26.97,39.05,19.98,3.96,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,Indústrias de transformação,5,10,1
5103304,23195.06,77.5,57935.0,48861.0,7779,28.07,15.39,6.86,0.71,1.26,38.55,5.1,51.7,53.0,33.94,8.28,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,"Agricultura, inclusive apoio à agricultura e a pós colheita",5,10,4
5103353,18269.62,84.5,55700.0,50157.0,10169,31.08,13.33,9.11,0.33,0.62,32.73,6.29,32.94,46.7,26.64,6.71,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,Comércio e reparação de veículos automotores e motocicletas,5,10,6
5103361,19014.28,82.8,,,1582,32.86,11.73,7.28,8.7,0.9,26.95,5.78,60.12,54.16,36.23,8.92,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,Comércio e reparação de veículos automotores e motocicletas,5,10,6
5103379,9705.97,87.0,,,6530,55.72,8.87,4.02,0.0,0.54,19.69,6.04,29.09,35.32,17.52,4.83,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Pecuária, inclusive apoio à pecuária",Demais serviços,5,8,10
5103403,36556.4,55.2,,,291703,2.4,17.2,7.69,0.31,1.07,54.71,6.45,65.63,75.13,57.68,21.17,Demais serviços,Comércio e reparação de veículos automotores e motocicletas,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",10,6,5
5103437,22253.62,89.2,13890.0,11477.0,2077,33.79,11.74,4.95,0.0,0.15,25.99,20.39,40.07,46.11,29.89,6.5,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,5,4,10
5103452,43041.4,89.3,17228.0,14651.0,3828,24.25,8.16,4.6,0.0,0.74,30.46,29.02,64.05,49.28,30.51,6.0,"Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,4,5,10
5103502,75432.04,77.4,67172.0,54700.0,10593,22.71,11.37,7.79,0.44,0.52,38.47,9.62,54.99,55.97,39.06,13.19,"Agricultura, inclusive apoio à agricultura e a pós colheita",Comércio e reparação de veículos automotores e motocicletas,Demais serviços,4,6,10
5103601,35335.93,,,,3459,34.57,11.0,5.13,0.0,0.76,33.5,9.4,52.1,52.56,36.11,10.29,"Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",4,10,5
5103700,27804.21,84.7,34403.0,28684.0,5045,34.93,13.24,4.19,0.09,0.14,33.42,10.05,46.04,48.19,28.83,6.39,"Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,4,5,10
5103809,15299.84,93.0,12607.0,10652.0,1701,45.47,8.49,5.4,0.0,0.24,32.53,4.77,47.57,49.94,30.88,6.08,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Pecuária, inclusive apoio à pecuária",Demais serviços,5,8,10
5103858,44305.14,76.7,,,2062,43.11,8.52,4.82,0.0,0.65,29.22,5.63,45.72,52.64,32.57,6.37,"Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",4,10,5
5103908,34751.47,84.7,21146.0,17656.0,1976,41.77,7.09,7.67,0.0,0.65,36.71,2.66,42.31,53.04,31.6,10.74,"Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,4,5,10
5103957,22736.58,91.4,13345.0,10874.0,1390,41.91,7.78,3.83,0.47,0.27,36.49,7.84,44.03,46.73,31.9,7.51,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita","Pecuária, inclusive apoio à pecuária",5,4,8
5104104,17885.08,78.8,70360.0,64184.0,16160,29.92,16.49,6.96,0.68,0.7,34.78,5.07,42.1,51.73,32.45,7.14,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,Comércio e reparação de veículos automotores e motocicletas,5,10,6
5104203,19223.8,84.8,31433.0,27775.0,6456,34.04,9.12,5.58,0.53,0.76,36.19,4.37,45.45,48.51,32.6,7.1,"Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,4,5,10
5104500,18579.31,92.7,13583.0,11262.0,949,38.52,6.54,8.4,0.63,1.69,34.95,4.62,38.71,42.92,28.84,8.74,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Pecuária, inclusive apoio à pecuária",5,9,8
5104526,74458.5,79.7,33678.0,26134.0,2671,38.55,8.15,7.6,0.0,0.73,32.14,5.53,58.21,52.6,32.19,7.04,"Agricultura, inclusive apoio à agricultura e a pós colheita",Comércio e reparação de veículos automotores e motocicletas,Demais serviços,4,6,10
5104542,31636.36,88.6,16648.0,16499.0,2409,34.86,11.04,4.65,0.51,0.0,32.08,7.48,36.14,50.16,29.31,6.34,"Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",4,10,5
5104559,38940.56,59.4,19665.0,16569.0,2087,34.63,9.53,4.15,1.47,0.25,36.06,8.68,47.65,48.4,31.81,7.83,"Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",4,10,5
5104609,73519.78,77.6,64184.0,52819.0,5433,40.3,6.6,7.9,0.09,0.69,36.12,2.53,67.39,49.17,33.61,9.07,"Agricultura, inclusive apoio à agricultura e a pós colheita",Comércio e reparação de veículos automotores e motocicletas,Demais serviços,4,6,10
5104807,30830.5,70.2,64520.0,66925.0,12161,11.47,15.79,5.83,0.17,1.06,39.42,17.28,65.87,58.42,41.0,11.53,"Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",4,10,5
5104906,28775.34,90.8,14903.0,13147.0,2211,32.01,12.2,8.24,0.0,0.27,30.94,7.17,46.63,43.65,26.21,5.46,"Agricultura, inclusive apoio à agricultura e a pós colheita",Indústrias de transformação,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",4,1,5
5105002,25927.35,83.3,29226.0,25174.0,3603,38.19,11.51,6.65,0.29,1.76,34.23,3.77,42.85,45.12,31.92,7.86,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,9,5,10
5105101,20780.57,76.4,74009.0,63023.0,15426,28.02,14.46,7.35,0.05,0.28,33.14,10.5,48.88,46.84,26.71,6.21,Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Comércio e reparação de veículos automotores e motocicletas,10,5,6
5105150,21478.26,74.2,93318.0,78665.0,18783,26.29,14.86,6.09,0.98,0.51,35.95,7.96,47.66,50.7,34.42,8.38,Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Comércio e reparação de veículos automotores e motocicletas,10,5,6
5105176,11347.47,82.7,,,5089,35.1,10.06,6.95,0.0,0.48,29.25,7.99,45.49,42.86,27.47,4.03,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,"Pecuária, inclusive apoio à pecuária",5,10,8
5105200,21728.02,84.8,,,5293,26.03,10.78,4.91,0.0,1.49,36.23,11.39,56.21,50.92,32.18,7.63,"Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,4,5,10
5105234,34113.82,85.5,18559.0,16823.0,2372,22.43,5.28,2.73,0.0,0.15,23.65,18.86,67.9,38.01,26.53,3.94,"Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,4,5,10
5105259,51982.74,60.7,197891.0,178353.0,24918,12.82,16.77,8.8,0.13,0.41,37.19,17.8,75.09,66.89,47.45,10.57,Demais serviços,Comércio e reparação de veículos automotores e motocicletas,"Agricultura, inclusive apoio à agricultura e a pós colheita",10,6,4
5105309,11934.73,,,,818,24.04,6.37,4.12,0.0,0.26,47.74,2.57,22.34,61.01,48.79,11.38,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,"Pecuária, inclusive apoio à pecuária",5,10,8
5105580,21099.22,81.8,34490.0,28393.0,5530,29.16,16.06,3.53,0.0,0.44,32.32,10.81,42.24,49.87,26.32,6.82,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,5,4,10
5105606,36555.29,83.4,41786.0,38529.0,6830,26.2,15.23,5.96,2.51,0.6,34.27,10.67,45.96,53.76,35.6,9.03,Demais serviços,Comércio e reparação de veículos automotores e motocicletas,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",10,6,5
5105622,22312.18,75.1,47752.0,43229.0,12201,15.3,14.8,5.23,0.3,0.46,38.65,14.61,62.24,54.07,34.14,8.75,Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Comércio e reparação de veículos automotores e motocicletas,10,5,6
5105903,30895.02,79.0,48123.0,42575.0,6567,16.57,11.2,6.63,5.56,0.08,38.64,7.84,52.4,55.49,38.83,8.91,Indústrias de transformação,Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",1,10,5
5106000,15643.57,87.6,18969.0,17837.0,2905,29.02,8.72,6.61,1.22,0.49,35.7,7.82,48.18,59.64,43.24,13.72,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,5,4,10
